nov.55	6.1
dic.55	4.2
ene.56	3.6
feb.56	1
mar.56	1.3
abr.56	2.3
may.56	2.1
jun.56	2.7
jul.56	2.6
ago.56	5.2
sept.56	7.2
oct.56	5.2
nov.56	-0.3
dic.56	-0.3
ene.57	-0.4
feb.57	0.4
mar.57	2.6
abr.57	5
may.57	2.2
jun.57	3.7
jul.57	4.6
ago.57	2.6
sept.57	12.2
oct.57	-6.5
nov.57	-6.5
dic.57	-2.4
ene.58	3.1
feb.58	3.3
mar.58	2.8
abr.58	2.9
may.58	2.6
jun.58	1.3
jul.58	1.2
ago.58	2.5
sept.58	2.3
oct.58	2.3
nov.58	2.6
dic.58	1.7
ene.59	3.2
feb.59	4.6
mar.59	4.7
abr.59	3.8
may.59	3.2
jun.59	2.2
jul.59	4.2
ago.59	2.3
sept.59	1.4
oct.59	2.5
nov.59	-2.1
dic.59	-0.6
ene.60	1.3
feb.60	0.2
mar.60	0.5
abr.60	-0.9
may.60	0.4
jun.60	-0.2
jul.60	2.4
ago.60	1.4
sept.60	1.1
oct.60	0.2
nov.60	-0.2
dic.60	-0.9
ene.61	1.8
feb.61	0.4
mar.61	0.7
abr.61	0.5
may.61	0.7
jun.61	0.3
jul.61	1.3
ago.61	1.1
sept.61	1.3
oct.61	0.9
nov.61	-0.1
dic.61	0.2
ene.62	1.7
feb.62	0.9
mar.62	0.6
abr.62	0.1
may.62	0.9
jun.62	1.4
jul.62	0.9
ago.62	1.4
sept.62	2.8
oct.62	6.4
nov.62	6.3
dic.62	1.6
ene.63	3.2
feb.63	5.8
mar.63	3.1
abr.63	2.5
may.63	3.6
jun.63	1.6
jul.63	2.5
ago.63	2.9
sept.63	4.5
oct.63	1.4
nov.63	4.1
dic.63	3
ene.64	1.4
feb.64	9.8
mar.64	4.7
abr.64	2.8
may.64	1
jun.64	2.2
jul.64	2.3
ago.64	2.5
sept.64	2.5
oct.64	3.4
nov.64	-1.1
dic.64	1.8
ene.65	1.2
feb.65	2.1
mar.65	3.6
abr.65	6.9
may.65	1.8
jun.65	0.1
jul.65	0.6
ago.65	2.3
sept.65	0.9
oct.65	1.9
nov.65	1.7
dic.65	0.4
ene.66	2.6
feb.66	2.9
mar.66	2.3
abr.66	1.4
may.66	1
jun.66	2
jul.66	2.2
ago.66	1.5
sept.66	3.5
oct.66	-0.3
nov.66	-1.4
dic.66	-1.7
ene.67	2.8
feb.67	2.7
mar.67	1.8
abr.67	2
may.67	2.2
jun.67	2.3
jul.67	2.3
ago.67	0.1
sept.67	2.8
oct.67	0.8
nov.67	0.1
dic.67	0.1
ene.68	5.7
feb.68	2.7
mar.68	1.5
abr.68	2.5
may.68	2.3
jun.68	3
jul.68	2.8
ago.68	1.2
sept.68	1.2
oct.68	1.4
nov.68	1.3
dic.68	-0.4
ene.69	4.9
feb.69	5.4
mar.69	3.1
abr.69	3.1
may.69	2.6
jun.69	2.3
jul.69	1.2
ago.69	1.5
sept.69	0.5
oct.69	0.4
nov.69	0.8
dic.69	0.3
ene.70	6.8
feb.70	5.1
mar.70	3.5
abr.70	2.4
may.70	2.1
jun.70	2
jul.70	1.9
ago.70	2.5
sept.70	2.7
oct.70	0.9
nov.70	0.6
dic.70	0
ene.71	1.4
feb.71	0.7
mar.71	1.2
abr.71	2.5
may.71	2.8
jun.71	2
jul.71	0.3
ago.71	1.1
sept.71	1.1
oct.71	1.7
nov.71	2.7
dic.71	2.8
ene.72	3.7
feb.72	6.5
mar.72	2.7
abr.72	5.7
may.72	4.3
jun.72	2.1
jul.72	4.5
ago.72	22.7
sept.72	22.2
oct.72	15.2
nov.72	5.6
dic.72	8.3
ene.73	10.3
feb.73	4.1
mar.73	6.2
abr.73	10.2
may.73	19.4
jun.73	15.7
jul.73	15.3
ago.73	17.1
sept.73	16.9
oct.73	87.6
nov.73	5.7
dic.73	4.7
ene.74	14.1
feb.74	24.5
mar.74	14.2
